Package,Provides,Requires
"NetworkManager-1.52.1-1.fc42.x86_64.rpm","NetworkManager = 1:1.52.1-1.fc42;NetworkManager(x86-64) = 1:1.52.1-1.fc42;NetworkManager-dispatcher(x86-64) = 1:1.52.1-1.fc42;bundled(systemd) = 0;config(NetworkManager) = 1:1.52.1-1.fc42","/bin/sh;/bin/sh;/bin/sh;/bin/sh;/usr/sbin/update-alternatives;/usr/sbin/update-alternatives;NetworkManager-libnm(x86-64) = 1:1.52.1-1.fc42;config(NetworkManager) = 1:1.52.1-1.fc42;dbus >= 1.9.18;filesystem(unmerged-sbin-symlinks);glib2 >= 2.84.3;libaudit.so.1()(64bit);libc.so.6()(64bit);libc.so.6(GLIBC_2.11)(64bit);libc.so.6(GLIBC_2.12)(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.16)(64bit);libc.so.6(GLIBC_2.17)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.25)(64bit);libc.so.6(GLIBC_2.26)(64bit);libc.so.6(GLIBC_2.28)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.2)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.32)(64bit);libc.so.6(GLIBC_2.33)(64bit);libc.so.6(GLIBC_2.34)(64bit);libc.so.6(GLIBC_2.38)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_2.5)(64bit);libc.so.6(GLIBC_2.6)(64bit);libc.so.6(GLIBC_2.7)(64bit);libc.so.6(GLIBC_2.8)(64bit);libc.so.6(GLIBC_2.9)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libcurl.so.4()(64bit);libgcc_s.so.1()(64bit);libgcc_s.so.1(GCC_3.0)(64bit);libgcc_s.so.1(GCC_3.3.1)(64bit);libgio-2.0.so.0()(64bit);libglib-2.0.so.0()(64bit);libgmodule-2.0.so.0()(64bit);libgnutls.so.30()(64bit);libgnutls.so.30(GNUTLS_3_4)(64bit);libgobject-2.0.so.0()(64bit);libndp.so.0()(64bit);libnm.so.0()(64bit);libnm.so.0(libnm_1_0_0)(64bit);libnm.so.0(libnm_1_10_0)(64bit);libnm.so.0(libnm_1_10_2)(64bit);libnm.so.0(libnm_1_12_0)(64bit);libnm.so.0(libnm_1_14_0)(64bit);libnm.so.0(libnm_1_16_0)(64bit);libnm.so.0(libnm_1_18_0)(64bit);libnm.so.0(libnm_1_20_0)(64bit);libnm.so.0(libnm_1_22_0)(64bit);libnm.so.0(libnm_1_24_0)(64bit);libnm.so.0(libnm_1_26_0)(64bit);libnm.so.0(libnm_1_28_0)(64bit);libnm.so.0(libnm_1_2_0)(64bit);libnm.so.0(libnm_1_30_0)(64bit);libnm.so.0(libnm_1_34_0)(64bit);libnm.so.0(libnm_1_38_0)(64bit);libnm.so.0(libnm_1_40_0)(64bit);libnm.so.0(libnm_1_42_0)(64bit);libnm.so.0(libnm_1_42_2)(64bit);libnm.so.0(libnm_1_44_0)(64bit);libnm.so.0(libnm_1_46_0)(64bit);libnm.so.0(libnm_1_48_0)(64bit);libnm.so.0(libnm_1_4_0)(64bit);libnm.so.0(libnm_1_52_0)(64bit);libnm.so.0(libnm_1_6_0)(64bit);libnm.so.0(libnm_1_8_0)(64bit);libpsl.so.5()(64bit);libreadline.so.8()(64bit);libselinux.so.1()(64bit);libselinux.so.1(LIBSELINUX_1.0)(64bit);libsystemd.so.0()(64bit);libsystemd.so.0(LIBSYSTEMD_209)(64bit);libudev.so.1()(64bit);libudev.so.1(LIBUDEV_183)(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PartialHardlinkSets) <= 4.0.4-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH);systemd;systemd;systemd;systemd-udev"
"NetworkManager-libnm-1.52.1-1.fc42.x86_64.rpm","NetworkManager-libnm = 1:1.52.1-1.fc42;NetworkManager-libnm(x86-64) = 1:1.52.1-1.fc42;libnm.so.0()(64bit);libnm.so.0(libnm_1_0_0)(64bit);libnm.so.0(libnm_1_0_4)(64bit);libnm.so.0(libnm_1_0_6)(64bit);libnm.so.0(libnm_1_10_0)(64bit);libnm.so.0(libnm_1_10_14)(64bit);libnm.so.0(libnm_1_10_2)(64bit);libnm.so.0(libnm_1_12_0)(64bit);libnm.so.0(libnm_1_12_2)(64bit);libnm.so.0(libnm_1_14_0)(64bit);libnm.so.0(libnm_1_14_8)(64bit);libnm.so.0(libnm_1_16_0)(64bit);libnm.so.0(libnm_1_18_0)(64bit);libnm.so.0(libnm_1_20_0)(64bit);libnm.so.0(libnm_1_20_6)(64bit);libnm.so.0(libnm_1_22_0)(64bit);libnm.so.0(libnm_1_22_2)(64bit);libnm.so.0(libnm_1_22_8)(64bit);libnm.so.0(libnm_1_24_0)(64bit);libnm.so.0(libnm_1_26_0)(64bit);libnm.so.0(libnm_1_26_4)(64bit);libnm.so.0(libnm_1_28_0)(64bit);libnm.so.0(libnm_1_2_0)(64bit);libnm.so.0(libnm_1_2_4)(64bit);libnm.so.0(libnm_1_30_0)(64bit);libnm.so.0(libnm_1_30_8)(64bit);libnm.so.0(libnm_1_32_0)(64bit);libnm.so.0(libnm_1_32_4)(64bit);libnm.so.0(libnm_1_34_0)(64bit);libnm.so.0(libnm_1_36_0)(64bit);libnm.so.0(libnm_1_38_0)(64bit);libnm.so.0(libnm_1_40_0)(64bit);libnm.so.0(libnm_1_40_20_bondp)(64bit);libnm.so.0(libnm_1_40_4)(64bit);libnm.so.0(libnm_1_42_0)(64bit);libnm.so.0(libnm_1_42_2)(64bit);libnm.so.0(libnm_1_44_0)(64bit);libnm.so.0(libnm_1_46_0)(64bit);libnm.so.0(libnm_1_48_0)(64bit);libnm.so.0(libnm_1_4_0)(64bit);libnm.so.0(libnm_1_50_0)(64bit);libnm.so.0(libnm_1_52_0)(64bit);libnm.so.0(libnm_1_6_0)(64bit);libnm.so.0(libnm_1_8_0)(64bit)","libc.so.6()(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.17)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.25)(64bit);libc.so.6(GLIBC_2.3.2)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.33)(64bit);libc.so.6(GLIBC_2.34)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_2.8)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libgcc_s.so.1()(64bit);libgcc_s.so.1(GCC_3.0)(64bit);libgcc_s.so.1(GCC_3.3.1)(64bit);libgio-2.0.so.0()(64bit);libglib-2.0.so.0()(64bit);libgmodule-2.0.so.0()(64bit);libgnutls.so.30()(64bit);libgnutls.so.30(GNUTLS_3_4)(64bit);libgobject-2.0.so.0()(64bit);libudev.so.1()(64bit);libudev.so.1(LIBUDEV_183)(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"NetworkManager-team-1.52.1-1.fc42.x86_64.rpm","NetworkManager-team = 1:1.52.1-1.fc42;NetworkManager-team(x86-64) = 1:1.52.1-1.fc42;libnm-device-plugin-team.so()(64bit)","NetworkManager(x86-64) = 1:1.52.1-1.fc42;libc.so.6()(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libgcc_s.so.1()(64bit);libgcc_s.so.1(GCC_3.0)(64bit);libgcc_s.so.1(GCC_3.3.1)(64bit);libgio-2.0.so.0()(64bit);libglib-2.0.so.0()(64bit);libgobject-2.0.so.0()(64bit);libjansson.so.4()(64bit);libjansson.so.4(libjansson.so.4)(64bit);libteamdctl.so.0()(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"alternatives-1.33-1.fc42.x86_64.rpm","/usr/sbin/alternatives;/usr/sbin/update-alternatives;alternatives = 1.33-1.fc42;alternatives(x86-64) = 1.33-1.fc42","filesystem(unmerged-sbin-symlinks);filesystem(unmerged-sbin-symlinks);libc.so.6()(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.33)(64bit);libc.so.6(GLIBC_2.34)(64bit);libc.so.6(GLIBC_2.38)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_2.8)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"amd-gpu-firmware-20250808-1.fc42.noarch.rpm","amd-gpu-firmware = 20250808-1.fc42","linux-firmware-whence = 20250808-1.fc42;rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1"
"amd-ucode-firmware-20250808-1.fc42.noarch.rpm","amd-ucode-firmware = 20250808-1.fc42","linux-firmware-whence = 20250808-1.fc42;rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1"
"anaconda-core-42.27.13-1.fc42.x86_64.rpm","anaconda-core = 42.27.13-1.fc42;anaconda-core(x86-64) = 42.27.13-1.fc42;anaconda-images = 42.27.13-1.fc42;anaconda-runtime = 42.27.13-1.fc42;config(anaconda-core) = 42.27.13-1.fc42","(glibc-langpack-en or glibc-all-langpacks);/usr/bin/bash;/usr/bin/date;/usr/bin/python3;/usr/bin/sh;NetworkManager >= 1.0;NetworkManager-libnm >= 1.0;NetworkManager-team;anaconda-tui = 42.27.13-1.fc42;chrony;config(anaconda-core) = 42.27.13-1.fc42;cracklib-dicts;crypto-policies;crypto-policies-scripts;dbus-daemon;filesystem(unmerged-sbin-symlinks);flatpak-libs;kbd;libreport-anaconda >= 2.0.21-1;python(abi) = 3.13;python3-blivet >= 1:3.12.0-1;python3-blockdev >= 2.1;python3-crypt-r;python3-dasbus >= 1.3;python3-dnf >= 3.6.0;python3-gobject-base;python3-iso639;python3-kickstart >= 3.61-1;python3-langtable >= 0.0.60;python3-libs;python3-libselinux;python3-meh >= 0.23-1;python3-pid;python3-productmd;python3-pwquality;python3-pyparted >= 2.5-2;python3-requests;python3-requests-file;python3-requests-ftp;python3-rpm >= 4.15.0;python3-systemd;python3-xkbregistry;rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PartialHardlinkSets) <= 4.0.4-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rpmlib(RichDependencies) <= 4.12.0-1;systemd;systemd-resolved;teamd;util-linux >= 2.15.1"
"anaconda-tui-42.27.13-1.fc42.x86_64.rpm","anaconda-tui = 42.27.13-1.fc42;anaconda-tui(x86-64) = 42.27.13-1.fc42","anaconda-core = 42.27.13-1.fc42;python(abi) = 3.13;python3-simpleline >= 1.9.0-1;rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PartialHardlinkSets) <= 4.0.4-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1"
"atheros-firmware-20250808-1.fc42.noarch.rpm","atheros-firmware = 20250808-1.fc42","linux-firmware-whence = 20250808-1.fc42;rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1"
"audit-libs-4.1.1-1.fc42.i686.rpm","audit-libs = 4.1.1-1.fc42;audit-libs(x86-32) = 4.1.1-1.fc42;config(audit-libs) = 4.1.1-1.fc42;libaudit.so.1;libauparse.so.0;libauplugin.so.1","config(audit-libs) = 4.1.1-1.fc42;libaudit.so.1;libauparse.so.0;libc.so.6;libc.so.6(GLIBC_2.0);libc.so.6(GLIBC_2.1);libc.so.6(GLIBC_2.1.2);libc.so.6(GLIBC_2.1.3);libc.so.6(GLIBC_2.15);libc.so.6(GLIBC_2.17);libc.so.6(GLIBC_2.2);libc.so.6(GLIBC_2.28);libc.so.6(GLIBC_2.3);libc.so.6(GLIBC_2.3.4);libc.so.6(GLIBC_2.32);libc.so.6(GLIBC_2.33);libc.so.6(GLIBC_2.34);libc.so.6(GLIBC_2.38);libc.so.6(GLIBC_2.4);libc.so.6(GLIBC_2.8);libc.so.6(GLIBC_ABI_DT_RELR);libcap-ng.so.0;rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
