Package,Provides,Requires
"audit-libs-4.1.1-1.fc42.x86_64.rpm","audit-libs = 4.1.1-1.fc42;audit-libs(x86-64) = 4.1.1-1.fc42;config(audit-libs) = 4.1.1-1.fc42;libaudit.so.1()(64bit);libauparse.so.0()(64bit);libauplugin.so.1()(64bit)","config(audit-libs) = 4.1.1-1.fc42;libaudit.so.1()(64bit);libauparse.so.0()(64bit);libc.so.6()(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.15)(64bit);libc.so.6(GLIBC_2.17)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.32)(64bit);libc.so.6(GLIBC_2.33)(64bit);libc.so.6(GLIBC_2.34)(64bit);libc.so.6(GLIBC_2.38)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_2.8)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libcap-ng.so.0()(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"augeas-libs-1.14.2-0.4.20250324git4dffa3d.fc42.x86_64.rpm","augeas-libs = 1.14.2-0.4.20250324git4dffa3d.fc42;augeas-libs(x86-64) = 1.14.2-0.4.20250324git4dffa3d.fc42;libaugeas.so.0()(64bit);libaugeas.so.0(AUGEAS_0.1.0)(64bit);libaugeas.so.0(AUGEAS_0.10.0)(64bit);libaugeas.so.0(AUGEAS_0.11.0)(64bit);libaugeas.so.0(AUGEAS_0.12.0)(64bit);libaugeas.so.0(AUGEAS_0.14.0)(64bit);libaugeas.so.0(AUGEAS_0.15.0)(64bit);libaugeas.so.0(AUGEAS_0.16.0)(64bit);libaugeas.so.0(AUGEAS_0.18.0)(64bit);libaugeas.so.0(AUGEAS_0.20.0)(64bit);libaugeas.so.0(AUGEAS_0.21.0)(64bit);libaugeas.so.0(AUGEAS_0.22.0)(64bit);libaugeas.so.0(AUGEAS_0.23.0)(64bit);libaugeas.so.0(AUGEAS_0.24.0)(64bit);libaugeas.so.0(AUGEAS_0.25.0)(64bit);libaugeas.so.0(AUGEAS_0.8.0)(64bit);libfa.so.1()(64bit);libfa.so.1(FA_1.0.0)(64bit);libfa.so.1(FA_1.2.0)(64bit);libfa.so.1(FA_1.4.0)(64bit);libfa.so.1(FA_1.5.0)(64bit)","libc.so.6()(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.27)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.33)(64bit);libc.so.6(GLIBC_2.38)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_2.8)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libfa.so.1()(64bit);libfa.so.1(FA_1.0.0)(64bit);libfa.so.1(FA_1.2.0)(64bit);libfa.so.1(FA_1.4.0)(64bit);libselinux.so.1()(64bit);libselinux.so.1(LIBSELINUX_1.0)(64bit);libxml2.so.2()(64bit);libxml2.so.2(LIBXML2_2.4.30)(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"authselect-1.5.1-1.fc42.x86_64.rpm","authselect = 1.5.1-1.fc42;authselect(x86-64) = 1.5.1-1.fc42","/bin/sh;authselect-libs(x86-64) = 1.5.1-1.fc42;libauthselect.so.4()(64bit);libauthselect.so.4(AUTHSELECT_1.0.1)(64bit);libauthselect.so.4(AUTHSELECT_1.0.2)(64bit);libauthselect.so.4(AUTHSELECT_1.0.3)(64bit);libauthselect.so.4(AUTHSELECT_1.1.0)(64bit);libauthselect.so.4(AUTHSELECT_1.2.3)(64bit);libauthselect.so.4(AUTHSELECT_1.6.0)(64bit);libc.so.6()(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.33)(64bit);libc.so.6(GLIBC_2.34)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_2.8)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libpopt.so.0()(64bit);libpopt.so.0(LIBPOPT_0)(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"authselect-libs-1.5.1-1.fc42.x86_64.rpm","authselect-libs = 1.5.1-1.fc42;authselect-libs(x86-64) = 1.5.1-1.fc42;libauthselect.so.4()(64bit);libauthselect.so.4(AUTHSELECT_1.0.1)(64bit);libauthselect.so.4(AUTHSELECT_1.0.2)(64bit);libauthselect.so.4(AUTHSELECT_1.0.3)(64bit);libauthselect.so.4(AUTHSELECT_1.1.0)(64bit);libauthselect.so.4(AUTHSELECT_1.2.3)(64bit);libauthselect.so.4(AUTHSELECT_1.6.0)(64bit)","/bin/sh;coreutils;libc.so.6()(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.26)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.33)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_2.7)(64bit);libc.so.6(GLIBC_2.8)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libselinux.so.1()(64bit);libselinux.so.1(LIBSELINUX_1.0)(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH);sed"
"basesystem-11-22.fc42.noarch.rpm","basesystem = 11-22.fc42","filesystem;rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;setup"
"bash-5.2.37-1.fc42.x86_64.rpm","/bin/bash;/bin/sh;bash = 5.2.37-1.fc42;bash(x86-64) = 5.2.37-1.fc42;config(bash) = 5.2.37-1.fc42","/usr/bin/sh;config(bash) = 5.2.37-1.fc42;filesystem >= 3;libc.so.6()(64bit);libc.so.6(GLIBC_2.11)(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.15)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.25)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.33)(64bit);libc.so.6(GLIBC_2.34)(64bit);libc.so.6(GLIBC_2.36)(64bit);libc.so.6(GLIBC_2.38)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_2.8)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libtinfo.so.6()(64bit);rpmlib(BuiltinLuaScripts) <= 4.2.2-1;rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"blivet-data-3.12.1-3.fc42.noarch.rpm","blivet-data = 1:3.12.1-3.fc42","/usr/bin/python3;rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1"
"brcmfmac-firmware-20250808-1.fc42.noarch.rpm","brcmfmac-firmware = 20250808-1.fc42","linux-firmware-whence = 20250808-1.fc42;rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1"
"btrfs-progs-6.16.1-1.fc42.x86_64.rpm","btrfs-progs = 6.16.1-1.fc42;btrfs-progs(x86-64) = 6.16.1-1.fc42","/usr/bin/sh;filesystem(unmerged-sbin-symlinks);libblkid.so.1()(64bit);libblkid.so.1(BLKID_1.0)(64bit);libblkid.so.1(BLKID_2.15)(64bit);libblkid.so.1(BLKID_2.17)(64bit);libc.so.6()(64bit);libc.so.6(GLIBC_2.10)(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.15)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.2)(64bit);libc.so.6(GLIBC_2.3.3)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.33)(64bit);libc.so.6(GLIBC_2.34)(64bit);libc.so.6(GLIBC_2.38)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_2.5)(64bit);libc.so.6(GLIBC_2.6)(64bit);libc.so.6(GLIBC_2.7)(64bit);libc.so.6(GLIBC_2.8)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libcom_err.so.2()(64bit);libext2fs.so.2()(64bit);libgcrypt.so.20()(64bit);libgcrypt.so.20(GCRYPT_1.6)(64bit);liblzo2.so.2()(64bit);libudev.so.1()(64bit);libudev.so.1(LIBUDEV_183)(64bit);libuuid.so.1()(64bit);libuuid.so.1(UUID_1.0)(64bit);libz.so.1()(64bit);libz.so.1(ZLIB_1.2.0)(64bit);libzstd.so.1()(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"bubblewrap-0.10.0-1.fc42.x86_64.rpm","bubblewrap = 0.10.0-1.fc42;bubblewrap(x86-64) = 0.10.0-1.fc42","libc.so.6()(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.28)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.33)(64bit);libc.so.6(GLIBC_2.34)(64bit);libc.so.6(GLIBC_2.38)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_2.7)(64bit);libc.so.6(GLIBC_2.8)(64bit);libc.so.6(GLIBC_2.9)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libcap.so.2()(64bit);libgcc_s.so.1()(64bit);libgcc_s.so.1(GCC_3.0)(64bit);libgcc_s.so.1(GCC_3.3.1)(64bit);libselinux.so.1()(64bit);libselinux.so.1(LIBSELINUX_1.0)(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"bzip2-libs-1.0.8-20.fc42.i686.rpm","bzip2-libs = 1.0.8-20.fc42;bzip2-libs(x86-32) = 1.0.8-20.fc42;libbz2.so.1","libc.so.6;libc.so.6(GLIBC_2.0);libc.so.6(GLIBC_2.1);libc.so.6(GLIBC_2.1.3);libc.so.6(GLIBC_2.3);libc.so.6(GLIBC_2.3.4);libc.so.6(GLIBC_2.4);libc.so.6(GLIBC_ABI_DT_RELR);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"bzip2-libs-1.0.8-20.fc42.x86_64.rpm","bzip2-libs = 1.0.8-20.fc42;bzip2-libs(x86-64) = 1.0.8-20.fc42;libbz2.so.1()(64bit)","libc.so.6()(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"ca-certificates-2025.2.80_v9.0.304-1.0.fc42.noarch.rpm","ca-certificates = 2025.2.80_v9.0.304-1.0.fc42;config(ca-certificates) = 2025.2.80_v9.0.304-1.0.fc42","/bin/sh;/bin/sh;/bin/sh;/usr/bin/sh;bash;bash;config(ca-certificates) = 2025.2.80_v9.0.304-1.0.fc42;coreutils;findutils;grep;grep;libffi;libffi;p11-kit >= 0.24;p11-kit >= 0.24;p11-kit-trust >= 0.24;p11-kit-trust >= 0.24;rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;sed;sed"
